"table","language","translation_source","note","built","uploaded"
"alsecypiamh_wu_2022_cps","Chinese","machine_translation","Claremont Purpose Scale, Chinese administration. Each item has its own labelled 5-point scale, so all 45 distinct anchors are translated individually rather than through one shared set.","2026-09-01",""
"an_2020_efl_self_regulated","Chinese","machine_translation","49-item technology-assisted EFL self-regulation questionnaire, author-written; only the two endpoint anchors are named.","2026-09-01",""
"fad_dataset1","Chinese","machine_translation","Chinese FAD-Plus (Paulhus & Carey 2011). Published English exists for the FAD-Plus, but the Chinese item set here does not map one-to-one onto it -- dataset2 carries ten items absent from dataset1, including soul/mind items -- so the administered Chinese is translated rather than a numbering correspondence being asserted that was not verified.","2026-09-01",""
"fad_dataset2","Chinese","machine_translation","As fad_dataset1; the ten extra items are translated on the same basis.","2026-09-01",""
"aslec_insomnia_wang2025","Chinese","machine_translation","Adolescent Self-Rating Life Events Checklist, a Chinese-origin instrument. instructions and option_text are already English in the published table, so only item_text carries a translation.","2026-09-01",""
"rd_ppcvdos_padconacns_jinbo_2019_dos","Chinese","machine_translation","Chinese Duesseldorf Orthorexia Scale. Item codes carry the source numbering inside the text (""4. ..."") and are left verbatim in the base field, numbering included.","2026-09-01",""
"aguirre_camacho_2021_champion","Spanish","machine_translation","Champion's Breast Cancer Fear Scale, Spanish administration. option_text is already English in the published table (the mismatch already flagged on the issues page), so only item_text carries a translation.","2026-09-01",""
"lshs-e_quidaja_2022","Spanish","machine_translation","Launay-Slade Hallucination Scale - Extended, Spanish. Published English exists for the LSHS-E but this administration is a Spanish adaptation with its own 0-4 anchor wording, so the administered text is translated rather than the original substituted.","2026-09-01",""
"mexico_2023_quality_administration","Spanish","machine_translation","National survey of governmental quality (ENCIG-style), Spanish. option_text was classified NEEDS_REVIEW because the field is mostly bare digits, but the named anchors are plainly Spanish, so it is translated anyway - the per-field verdict is a floor, not a ceiling. Digits map to themselves.","2026-09-01",""
"mexico_2023_quality_problems","Spanish","machine_translation","As administration. Item texts are response categories of a ""three most important problems"" question, so each is a noun phrase.","2026-09-01",""
"mexico_2023_quality_drainage","Spanish","machine_translation","As administration. Item texts carry the source numbering and trailing punctuation verbatim (""4 ...?..."").","2026-09-01",""
"mexico_2023_quality_lightning","Spanish","machine_translation","As administration; note the table name misspells ""lighting"" and is left as the published table spells it.","2026-09-01",""
"mexico_2023_quality_water","Spanish","machine_translation","As administration.","2026-09-01",""
"mexico_2023_quality_corruptionperception","Spanish","machine_translation","As administration. Mexican institution names are kept in Spanish with an English gloss where the acronym would be opaque (CONAPRED, INE, CNDH, INEGI).","2026-09-01",""
"chile_2023_social-welfare-survey_ee","Spanish","machine_translation","Chilean social welfare survey, Spanish. Item texts are the survey's own abbreviated field labels, truncated in the source; left verbatim.","2026-09-01",""
"chile_2023_social-welfare-survey_f","Spanish","machine_translation","As _ee. The source abbreviates to fit a column width (""Ult. 12 meses"", ""org."", ""RRSS"") and contains stray zero-width characters; both are kept in the base field.","2026-09-01",""
"chile_2023_social-welfare-survey_g","Spanish","machine_translation","As _ee.","2026-09-01",""
"chile_2023_social-welfare-survey_h","Spanish","machine_translation","As _ee. ""NNA"" (ninos, ninas y adolescentes) is expanded in the translation.","2026-09-01",""
"chile_2023_social-welfare-survey_oo","Spanish","machine_translation","As _ee. Parenthetical population markers (Ocupados, Cuenta Propia, Desoc, FFT) are expanded in the translation.","2026-09-01",""
"ccapsvtskhpacr_mercedes_2023_beck","Spanish","machine_translation","BDI-II, Spanish administration. The sourcing rule is deliberately NOT applied here: the official English BDI-II wording is Pearson-licensed, so the _translated column is our own rendering of the Spanish statements the study published, not Beck's published English. Compound options where the source joins two statements with ';' (appetite and sleep items) are kept as one string in both columns so the base and translation stay row-aligned.","2026-09-01",""
"baka2023_uwes","Polish","official_instrument_english","UWES-17, Polish version. All 17 Polish items map one-to-one onto Schaufeli & Bakker's published English UWES-17 (6 vigour, 5 dedication, 6 absorption), so the official English is shipped. option_text is already English in the published table.","2026-09-01",""
"baka2023_olbi","Polish","official_instrument_english","Oldenburg Burnout Inventory, Polish version, 8-item form administered. Items map onto Demerouti's published English OLBI. option_text is already English.","2026-09-01",""
"baka2023_bpnsf","Polish","machine_translation","Basic Psychological Need Satisfaction and Frustration Scale at Work, Polish version. Published English exists (Chen et al.) but this is a work-domain adaptation whose 24 items were not verified one-to-one against it, so the administered Polish is translated instead. Source typos kept verbatim in the base field ('w prazy' for 'w pracy'; the spaced 'związany/ a', 'pewny/ a').","2026-09-01",""
"baka2023_jcs","Polish","machine_translation","Job Crafting Scale, Polish version. As bpnsf: Tims, Bakker & Derks' English exists but the correspondence was not verified item by item, so the Polish is translated. Stray spacing before punctuation is left as published ('o radę .', 'Staram się , aby').","2026-09-01",""
"lys_2020_rape_1_rma","Polish","machine_translation","Illinois-style rape myth acceptance scale, Polish. The four lys_2020_*_rma tables share an identical 19-item set, so one mapping serves all four. Items are deliberately offensive statements that respondents rate agreement with -- that is what the instrument measures -- and are translated straight rather than softened. option_text is already English.","2026-09-01",""
"lys_2020_rape_2_rma","Polish","machine_translation","Same 19 items as lys_2020_rape_1_rma.","2026-09-01",""
"lys_2020_rape_2_rma_pre","Polish","machine_translation","Same 19 items as lys_2020_rape_1_rma; the pre-test administration.","2026-09-01",""
"lys_2020_rape_3_rma","Polish","machine_translation","Same 19 items as lys_2020_rape_1_rma.","2026-09-01",""
"lys_2020_rape_3_asi","Polish","machine_translation","Ambivalent Sexism Inventory, Polish, 22 items. Glick & Fiske's published English exists and the item count matches, but the correspondence is NOT clean: the Polish carries both a short 'a man is not complete without a woman' and a long 'no matter what he has achieved professionally...' item, where the ASI original pairs a reverse-scored 'Men are complete without women' with the long form. Asserting the original's numbering over that would invert an item's polarity, so the Polish is translated instead.","2026-09-01",""
"namprb_siwiak_2024_aot","Polish","machine_translation","Actively Open-minded Thinking scale, Polish. The source text carries PDF line-break hyphens inside words ('naszy-mi', 'przeko-nan', 'na-wet', 'praw-dopodobnie', 'sprzecz-ne', 'odpowie-dzi', and 'calkowi-cie' in an option). These are kept verbatim in the base field per the transcribe-literally rule and rendered whole in the translation.","2026-09-01",""
"namprb_siwiak_2024_kon2066","Polish","machine_translation","Kon-2066, a Polish-origin questionnaire; no English original exists to prefer.","2026-09-01",""
"namprb_siwiak_2024_kop20","Polish","machine_translation","KOP20 superstition-belief questionnaire, Polish-origin. The instructions and all four option labels have had their Polish diacritics stripped by an encoding fault in the source ('W naszym spolecze stwie', 'Zgadzam si'). The damage is left exactly as published in the base field -- it is what the table currently serves -- and the translation renders the intended sense. Worth a separate fix at source; not repaired here, because silently correcting a base field is the one thing this backfill must not do.","2026-09-01",""
"namprb_siwiak_2024_gcbs","Polish","official_instrument_english","Generic Conspiracist Beliefs Scale, Polish. All 15 items map one-to-one onto Brotherton et al.'s published English GCBS, so the official wording is shipped. Instructions, section prompt and the 5 anchors are translated, having no published parallel.","2026-09-01",""
"namprb_siwiak_2024_bsr10","Polish","machine_translation","Bullshit Receptivity Scale, Polish. Pennycook's English originals exist, but these are Polish renderings of randomly generated pseudo-profound statements, and back-translating a rendering is NOT the same text as the original -- for a scale whose whole construct is the surface plausibility of the wording, substituting the English original would change what the item measures. Translated from the administered Polish and marked as such.","2026-09-01",""
"algner2022_uwes","German","official_instrument_english","UWES-9, German version (Sautier et al. 2015). All 9 items map one-to-one onto Schaufeli & Bakker's published English UWES-9, so official wording is shipped; the 7 frequency anchors and the study's own instruction line are translated.","2026-09-01",""
"heekerens2025_bfi_extraversion","German","official_instrument_english","BFI-10 Extraversion, 2 items, German. Maps exactly onto Rammstedt & John's published English ('am reserved' / 'am outgoing, sociable'). Items keep the source's leading ellipsis, which hangs off the shared stem.","2026-09-01",""
"heekerens2025_bfi_neuroticism","German","official_instrument_english","BFI-10 Neuroticism, 2 items, German. NOTE a defect in the published table, left uncorrected: the `instrument` field describes the OPENNESS subscale ('Assesses openness to experience, imagination, and curiosity'), copied from heekerens2025_bfi_openness. The items themselves are correctly the neuroticism pair.","2026-09-01",""
"heekerens2025_bfi_openness","German","official_instrument_english","BFI-10 Openness, 2 items, German. Maps exactly onto the published English.","2026-09-01",""
"heekerens2025_dss","German","machine_translation","Dissociative Symptoms Scale, German (G-DSS), 20 items. option_text is already English so its _translated column stays empty.","2026-09-01",""
"heekerens2025_sdq","German","machine_translation","SEE THE ANOMALY. This table is labelled the Somatoform Dissociation Questionnaire (SDQ-20) but its 20 German item texts are IDENTICAL to heekerens2025_dss's, differing only in one typo ('was um mich hervorging' in dss vs 'was um mich herum vorging' here). The SDQ-20 is a different instrument with different items, so one of these two tables is almost certainly carrying the other's item text. The published text is translated as-is and NOT repaired; the discrepancy needs resolving at source. Its option_text is German where dss's is English, which is a second sign the pair was assembled inconsistently.","2026-09-01",""
"beck_2021_iesr","German","official_instrument_english","IES-R, German version (Maercker & Schuetzwohl 1998), 22 items mapping one-to-one onto Weiss & Marmar's published English IES-R. The German orthography is pre-1996 ('daß', 'bißchen', 'mußte') and is kept exactly as published. Instructions and the 4 anchors are translated.","2026-09-01",""
"sv-maia2_randelovic_2021_erq","Serbian","official_instrument_english","ERQ, Serbian. Items carry the source numbering 1-10, so the mapping onto Gross & John's published English is certain rather than inferred.","2026-09-01",""
"sv-maia2_randelovic_2021_maas","Serbian","official_instrument_english","MAAS, Serbian. Items carry the source numbering 1-15, mapping onto Brown & Ryan's published English.","2026-09-01",""
"sv-maia2_randelovic_2021_shs","Serbian","official_instrument_english","Subjective Happiness Scale, Serbian, 4 items onto Lyubomirsky & Lepper's published English. Two of the four anchors are sentence completions ('a very happy person'), so they read as fragments by design.","2026-09-01",""
"sv-maia2_randelovic_2021_maia","Serbian","machine_translation","MAIA-2, Serbian, 37 items. Published English exists but the items were not verified one-to-one, so the administered Serbian is translated. DEFECT recorded, not repaired: option_text mixes languages within one field, carrying Serbian 'nikad' and English 'Always' as the two endpoint anchors of the same scale; 'Always' is mapped to itself so the column is whole rather than partial.","2026-09-01",""
"bscs_fadplus_goto2021","Japanese","official_instrument_english","Brief Self-Control Scale, Japanese, 13 items mapping one-to-one onto Tangney et al.'s published English. The source marks reverse-scored items with a full-width '（r）' inside item_text; that marker is kept in the base field and carried as ' (r)' in the translation so the two stay legible side by side.","2026-09-01",""
"rosenberg_fadplus_goto2021","Japanese","machine_translation","Rosenberg Self-Esteem Scale from the same study. Only option_text is translated: item_text is ALREADY English in the published table for a Japanese administration, which makes this table a tier B fallback for its items and tier A for its options. Its Japanese anchors carry a stray space ('強 くそう思う'), left as published.","2026-09-01",""
"aspirations_sonmez_2022","Turkish","machine_translation","Aspiration Index, Turkish, 35 goal items. Kasser & Ryan's English exists but the Turkish set was not verified one-to-one against it. The instruction text carries doubled spaces from the source layout, left verbatim.","2026-09-01",""
"gilbert_meta_64","Arabic","machine_translation","Caregiver-report language questionnaire, Arabic (Levantine forms such as 'بسأل' and 'بيحكي' appear alongside standard Arabic). Item texts embed the template variable **${fc_name}**, which is kept verbatim in BOTH columns - it is a placeholder the instrument fills with the child's name, not text to translate.","2026-09-01",""
"bakumenko_2023_adyghe_values","Russian","machine_translation","Traditional-culture values items, administered in Russian about Adyghe cultural artefacts. Only one option label ('очень важно') exists in the published table for a 1-5 scale, so the other four points carry no option text.","2026-09-01",""
"pedroso_2021_ifsq_pressuring","Portuguese","machine_translation","Infant Feeding Style Questionnaire, pressuring subscale, Brazilian Portuguese. Items embed the placeholder '(nome da criança)', kept verbatim in both columns. option_text is already English.","2026-09-01",""
"idas_machado2024","Portuguese","machine_translation","IDAS-II, Brazilian Portuguese, 99 items. DEFECT recorded, not repaired: two further item_text values are not items at all but English scoring notes - 'reversed scoring of item 27' and 'reversed scoring of item 64' - which have leaked into the item text column. They are mapped to themselves so the translated column is whole, and should be removed at source. Source typos left verbatim: 'tuneis' for 'túneis', 'ligares' for 'lugares', 'no resto dia' for 'no resto do dia'.","2026-09-01",""
