key,date
10.5683/sp3/ig0a4y,2026-08-14
10.5281/zenodo.20625728,2026-08-14
10.5281/zenodo.20614320,2026-08-14
10.5281/zenodo.20550197,2026-08-14
10.5281/zenodo.20280750,2026-08-14
10.5281/zenodo.20308600,2026-08-14
10.5281/zenodo.21361977,2026-08-14
10.6084/m9.figshare.33227889.v1,2026-08-14
10.1371/journal.pone.0355186.t002,2026-08-14
10.1371/journal.pone.0354170.t004,2026-08-14
10.1371/journal.pone.0354170.t003,2026-08-14
10.6084/m9.figshare.32984900.v2,2026-08-14
10.6084/m9.figshare.32016954.v2,2026-08-14
10.25415/ujhb.33093377.v1,2026-08-14
10.6084/m9.figshare.32994878.v1,2026-08-14
10.6084/m9.figshare.32984104.v1,2026-08-14
10.5281/zenodo.21689750,2026-08-14
10.5061/dryad.4b8gthts3,2026-08-14
10.5061/dryad.zs7h44jqs,2026-08-14
10.1371/journal.pone.0355872.t007,2026-08-14
10.1371/journal.pone.0355872.t003,2026-08-14
10.1371/journal.pdig.0001243.t003,2026-08-14
10.1371/journal.pdig.0001243.t002,2026-08-14
10.6084/m9.figshare.33245883.v1,2026-08-14
10.1371/journal.pone.0352129.t003,2026-08-14
10.6084/m9.figshare.33202694.v1,2026-08-14
10.6084/m9.figshare.33202691.v1,2026-08-14
10.6084/m9.figshare.33202688.v1,2026-08-14
10.1371/journal.pone.0355733.t003,2026-08-14
10.6084/m9.figshare.21070342.v8,2026-08-14
10.6084/m9.figshare.29145239.v1,2026-08-14
10.6084/m9.figshare.33169649.v1,2026-08-14
10.6084/m9.figshare.33164410.v1,2026-08-14
10.6084/m9.figshare.33161168.v1,2026-08-14
10.1371/journal.pmed.1005083.t002,2026-08-14
10.6084/m9.figshare.33137930.v1,2026-08-14
10.1371/journal.pone.0353453.t002,2026-08-14
10.5683/sp4/zps0mh,2026-08-14
10.5281/zenodo.20475015,2026-08-14
10.5281/zenodo.20406401,2026-08-14
10.5281/zenodo.20476733,2026-08-14
10.5281/zenodo.20435395,2026-08-14
10.5281/zenodo.20514059,2026-08-14
10.5281/zenodo.20524987,2026-08-14
10.5281/zenodo.20287342,2026-08-14
10.1371/journal.pone.0355614.t011,2026-08-14
10.1371/journal.pone.0355614.t010,2026-08-14
10.1371/journal.pone.0355614.t009,2026-08-14
10.1371/journal.pone.0355614.t008,2026-08-14
10.1371/journal.pone.0355614.t007,2026-08-14
10.1371/journal.pone.0355614.t006,2026-08-14
10.6084/m9.figshare.33152816.v1,2026-08-14
10.6084/m9.figshare.33140489.v1,2026-08-14
10.6084/m9.figshare.33137771.v1,2026-08-14
10.6084/m9.figshare.33136013.v1,2026-08-14
10.6084/m9.figshare.32995892.v5,2026-08-14
10.6084/m9.figshare.33110519.v2,2026-08-14
10.1371/journal.pone.0354701.t005,2026-08-14
10.1371/journal.pone.0354701.t004,2026-08-14
10.1371/journal.pone.0354701.t003,2026-08-14
10.1371/journal.pone.0354701.t002,2026-08-14
10.1371/journal.pone.0354701.t001,2026-08-14
10.1371/journal.pone.0354083.t006,2026-08-14
10.1371/journal.pone.0354083.t005,2026-08-14
10.1371/journal.pone.0354083.t004,2026-08-14
10.1371/journal.pone.0354083.t003,2026-08-14
10.5281/zenodo.15032729,2026-08-14
10.5281/zenodo.15032678,2026-08-14
10.1371/journal.pcbi.1014509.s006,2026-08-14
10.5281/zenodo.20716957,2026-08-14
10.5281/zenodo.21790613,2026-08-14
10.1371/journal.pone.0352860.t008,2026-08-14
10.1371/journal.pone.0352860.t007,2026-08-14
10.1371/journal.pone.0352860.t006,2026-08-14
10.1371/journal.pone.0352383.t004,2026-08-14
10.1371/journal.pone.0350426.t006,2026-08-14
10.1371/journal.pone.0350343.t003,2026-08-14
10.1371/journal.pone.0349605.t008,2026-08-14
10.1371/journal.pone.0349605.t007,2026-08-14
10.6084/m9.figshare.33075128.v1,2026-08-14
10.1371/journal.pone.0354261.t006,2026-08-14
10.1371/journal.pone.0351968.t001,2026-08-14
10.1371/journal.pone.0349770.t004,2026-08-14
10.1371/journal.pone.0349770.t003,2026-08-14
10.1371/journal.pone.0349770.t002,2026-08-14
10.5281/zenodo.21794626,2026-08-14
10.5281/zenodo.20345561,2026-08-14
10.5281/zenodo.20794574,2026-08-14
10.5281/zenodo.21922341,2026-08-14
10.5061/dryad.4f4qrfjrg,2026-08-14
10.1371/journal.pone.0355712.t004,2026-08-14
10.25413/sun.30217717.v2,2026-08-14
10.34894/ivimpc,2026-08-14
10.34894/fcshoq,2026-08-14
10.5281/zenodo.20644303,2026-08-14
10.1371/journal.pone.0355712.t003,2026-08-14
10.1371/journal.pone.0355712.t002,2026-08-14
10.1371/journal.pone.0354474.t011,2026-08-14
10.1371/journal.pone.0354474.t010,2026-08-14
10.1371/journal.pone.0354474.t007,2026-08-14
10.1371/journal.pone.0354474.t004,2026-08-14
10.1371/journal.pone.0352778.t006,2026-08-14
10.1371/journal.pone.0352778.t004,2026-08-14
10.5281/zenodo.15032777,2026-08-14
10.6084/m9.figshare.33084674.v1,2026-08-14
10.1371/journal.pone.0353748.t003,2026-08-14
10.1371/journal.pone.0353748.t002,2026-08-14
10.6084/m9.figshare.32901440.v1,2026-08-14
10.6084/m9.figshare.32687751.v1,2026-08-14
10.17028/rd.lboro.32677923.v1,2026-08-14
10.6084/m9.figshare.32671777.v1,2026-08-14
10.6084/m9.figshare.32665733.v1,2026-08-14
10.6084/m9.figshare.32413829.v1,2026-08-14
10.60809/drum.30920516.v1,2026-08-14
10.3389/fneur.2022.933940.s002,2026-08-14
10.3389/fneur.2022.933940.s003,2026-08-14
10.3389/fneur.2022.933940.s001,2026-08-14
10.34894/ksz9ao,2026-08-14
10.5281/zenodo.21345275,2026-08-14
10.1371/journal.pone.0353474.t003,2026-08-14
10.1371/journal.pone.0353474.t002,2026-08-14
10.5281/zenodo.15039713,2026-08-14
10.5281/zenodo.21238645,2026-08-14
10.5281/zenodo.21894388,2026-08-14
10.5281/zenodo.21801247,2026-08-14
10.5281/zenodo.20302477,2026-08-14
10.5281/zenodo.20443520,2026-08-14
10.6084/m9.figshare.33090965.v1,2026-08-14
10.5281/zenodo.20447402,2026-08-14
10.5281/zenodo.21295036,2026-08-14
10.6084/m9.figshare.31093783.v5,2026-08-14
10.6084/m9.figshare.33033575.v1,2026-08-14
10.6084/m9.figshare.32987496.v1,2026-08-14
10.6084/m9.figshare.32633423.v1,2026-08-14
10.6084/m9.figshare.29977003.v2,2026-08-14
10.5061/dryad.fxpnvx15f,2026-08-14
10.15131/shef.data.33121544.v1,2026-08-14
10.6084/m9.figshare.32969165.v1,2026-08-14
10.7910/dvn/x2c2pl,2026-08-17
10.7910/dvn/hvraoh,2026-08-17
10.7910/dvn/tg1gya,2026-08-17
10.7910/dvn/wydiza,2026-08-17
https://osf.io/nckqd/,2026-08-17
https://osf.io/d3v5c/,2026-08-17
https://osf.io/q9edb/,2026-08-17
10.17632/gw4wcb9rft.2,2026-08-17
10.17632/gw4wcb9rft,2026-08-17
10.23668/psycharchives.22169,2026-08-17
10.23668/psycharchives.22299,2026-08-17
10.17632/9mphhb9zhz.2,2026-08-17
10.17632/9mphhb9zhz,2026-08-17
10.17632/9mphhb9zhz.1,2026-08-17
10.17632/ys2s8f8skx.1,2026-08-17
10.17632/ys2s8f8skx,2026-08-17
10.17632/sk9mpyt4tv.1,2026-08-17
10.17632/sk9mpyt4tv,2026-08-17
10.17632/yymf9dbr6h.1,2026-08-17
10.17632/yymf9dbr6h,2026-08-17
10.17632/6rbv3fbz8d.2,2026-08-17
10.17632/6rbv3fbz8d,2026-08-17
https://osf.io/5amfx/,2026-08-17
10.6084/m9.figshare.33265289,2026-08-17
10.23668/psycharchives.22169,2026-08-17
10.23668/psycharchives.22292,2026-08-17
https://osf.io/mdnrj/,2026-08-17
https://osf.io/sarzc/,2026-08-17
https://osf.io/26fvt/,2026-08-17
https://osf.io/du6pb/,2026-08-17
https://osf.io/8t5yv/,2026-08-17
https://osf.io/gwrc8/,2026-08-17
https://osf.io/f9ybp/,2026-08-17
https://osf.io/xt8w9/,2026-08-17
https://osf.io/fbre8/,2026-08-17
https://osf.io/6dutb/,2026-08-17
https://osf.io/gnrtq/,2026-08-17
https://osf.io/5qkyd/,2026-08-17
https://osf.io/d3v5c/,2026-08-17
https://osf.io/ndb8s/,2026-08-17
https://osf.io/s7wp2/,2026-08-17
https://osf.io/e3p4m/,2026-08-17
https://osf.io/htx4z/,2026-08-17
https://osf.io/rkftd/,2026-08-17
https://osf.io/mdnrj/,2026-08-17
https://osf.io/zxn48/,2026-08-17
https://osf.io/8nhx9/,2026-08-17
https://osf.io/x8ckd/,2026-08-17
https://osf.io/du6pb/,2026-08-17
https://osf.io/8t5yv/,2026-08-17
https://osf.io/rtfh7/,2026-08-17
https://osf.io/pmdaf/,2026-08-17
https://osf.io/f9ybp/,2026-08-17
https://osf.io/fbre8/,2026-08-17
https://osf.io/gnrtq/,2026-08-17
https://osf.io/5qkyd/,2026-08-17
https://osf.io/d3v5c/,2026-08-17
https://osf.io/phzub/,2026-08-17
https://osf.io/htx4z/,2026-08-17
10.7910/dvn/qdvco2,2026-08-20
10.7910/dvn/qdk2zo,2026-08-20
10.7910/dvn/ngrr1q,2026-08-20
10.7910/dvn/d6wwck,2026-08-20
10.7910/dvn/sp87zl,2026-08-20
10.7910/dvn/cornfb,2026-08-20
10.7910/dvn/gjw7tl,2026-08-20
10.7910/dvn/ngrr1q,2026-08-20
10.7910/dvn/d6wwck,2026-08-20
10.7910/dvn/ngrr1q,2026-08-20
10.7910/dvn/qdk2zo,2026-08-20
10.7910/dvn/qdk2zo,2026-08-20
10.7910/dvn/qdk2zo,2026-08-20
10.7910/dvn/d6wwck,2026-08-20
10.7910/dvn/fryk4a,2026-08-20
10.7910/dvn/tpcj1a,2026-08-20
10.7910/dvn/qdk2zo,2026-08-20
10.7910/dvn/7p3pfb,2026-08-24
10.7910/dvn/fg3cck,2026-08-24
10.5282/ubm/data.832,2026-08-24
10.17632/j33ytz7wsx.1,2026-08-24
10.17632/j33ytz7wsx,2026-08-24
10.57760/sciencedb.psych.00715,2026-08-24
10.6084/m9.figshare.32200972,2026-08-24
10.17632/jdzhj8w2ck.2,2026-08-24
10.17632/jdzhj8w2ck,2026-08-24
10.57760/sciencedb.01021,2026-08-24
10.25504/fairsharing.a6c43b,2026-08-24
10.57760/sciencedb.00zxl,2026-08-24
10.57760/sciencedb.01021,2026-08-24
10.17632/vb5rz5y7x8.1,2026-08-24
10.17632/vb5rz5y7x8,2026-08-24
10.17632/j33ytz7wsx.1,2026-08-24
10.17632/j33ytz7wsx,2026-08-24
10.6084/m9.figshare.33314690,2026-08-24
10.6084/m9.figshare.33305970,2026-08-24
10.17632/6by7h52sfg.1,2026-08-24
10.17632/6by7h52sfg,2026-08-24
10.23668/psycharchives.22321,2026-08-24
10.17615/5spq-jh17,2026-08-24
10.25740/zt410bf9823,2026-08-24
10.57760/sciencedb.45089,2026-08-24
10.3886/icpsr305610,2026-08-24
10.17632/x22kds2wvp.1,2026-08-24
10.17632/x22kds2wvp,2026-08-24
10.57745/mfajog,2026-08-24
https://osf.io/47bhk/,2026-08-24
10.17632/wc9yc4z77r.1,2026-08-24
10.17632/wc9yc4z77r,2026-08-24
